title,combined_features,id
This Is It,Music Documentary pop star music concert aftercreditsstinger duringcreditsstinger Michael Jackson Orianthi Kenny Ortega Dorian Holley Patrick Woodroffe Kenny Ortega,13576
Contagion,Drama Thriller Science Fiction saving the world mutation infection terminal illness quarantine Matt Damon Gwyneth Paltrow Kate Winslet Jude Law Marion Cotillard Steven Soderbergh,39538
Kangaroo Jack,Comedy Adventure Crime money delivery fool australia hoodlum kangaroo Jerry O'Connell Anthony Anderson Estella Warren Christopher Walken Michael Shannon David McNally,10628
Coraline,Animation Family dream eye stuffed animal parallel world button Dakota Fanning Teri Hatcher Jennifer Saunders Dawn French Keith David Henry Selick,14836
The Happening,Thriller Science Fiction tree natural disaster crisis park strange behavior Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley M. Night Shyamalan,8645
Man on Fire,Action Drama Thriller Crime mexico cia kidnapping diary bible Denzel Washington Dakota Fanning Marc Anthony Radha Mitchell Christopher Walken Tony Scott,9509
The Shaggy Dog,Comedy Family father son relationship parents kids relationship workaholic wife husband relationship transformation Tim Allen Kristin Davis Danny Glover Spencer Breslin Robert Downey Jr. Brian Robbins,10067
Starsky & Hutch,Comedy Crime informant jumping from a rooftop surveillance footage Ben Stiller Owen Wilson Snoop Dogg Fred Williamson Vince Vaughn Todd Phillips,9384
Jingle All the Way,Family Comedy holiday christmas party santa claus toy puppet Arnold Schwarzenegger Phil Hartman Sinbad Rita Wilson Jake Lloyd Brian Levant,9279
Hellboy,Fantasy Action Science Fiction black magic fistfight cover-up superhero paranormal phenomena Ron Perlman Selma Blair Rupert Evans John Hurt Jeffrey Tambor Guillermo del Toro,1487
A Civil Action,Drama success advancement right and justice leukemia lawyer John Travolta Robert Duvall Tony Shalhoub William H. Macy Zeljko Ivanek Steven Zaillian,9422
ParaNorman,Family Animation Adventure Comedy medium stop motion curse jock ghost Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck Sam Fell,77174
The Jackal,Action Thriller Adventure Crime fbi cold war hitman Bruce Willis Richard Gere Sidney Poitier Diane Venora J.K. Simmons Michael Caton-Jones,4824
Paycheck,Action Adventure Mystery Science Fiction Thriller prophecy engineer scientist millionaire Ben Affleck Aaron Eckhart Uma Thurman Paul Giamatti Colm Feore John Woo,9620
Up Close & Personal,Drama Romance miami television career vitamin b reporter Robert Redford Michelle Pfeiffer Stockard Channing Joe Mantegna Kate Nelligan Jon Avnet,9302
The Tale of Despereaux,Adventure Animation Family loyalty totalitarian regime mouse forgiveness honor Matthew Broderick Dustin Hoffman Emma Watson Tracey Ullman Kevin Kline Robert Stevenhagen,10199
The Tuxedo,Thriller Action Comedy Science Fiction bomb intelligence chauffeur wound secret agent Jackie Chan Jennifer Love Hewitt Jason Isaacs Debi Mazar Ritchie Coster Kevin Donovan,10771
Under Siege 2: Dark Territory,Action Thriller terrorist pentagon satellite navy seal train Steven Seagal Eric Bogosian Everett McGill Katherine Heigl Morris Chestnut Geoff Murphy,3512
Jack Ryan: Shadow Recruit,Action Drama Thriller london england corruption cia terrorist sniper Chris Pine Keira Knightley Kevin Costner Kenneth Branagh Lenn Kudrjawizki Kenneth Branagh,137094
Joy,Drama Comedy factory inventor strong woman biography based on true story Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar Ram\u00edrez David O. Russell,274479
London Has Fallen,Action Crime Thriller london england terrorist terrorist attack Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo Babak Najafi,267860
Alien: Resurrection,Science Fiction Horror Action android mercenary dystopia sequel alien Sigourney Weaver Winona Ryder Brad Dourif Ron Perlman Michael Wincott Jean-Pierre Jeunet,8078
Shooter,Action Drama Mystery Thriller Crime corruption sniper senator conspiracy of murder childlessness Mark Wahlberg Michael Pe\u00f1a Danny Glover Kate Mara Elias Koteas Antoine Fuqua,7485
The Boxtrolls,Animation Comedy Family Fantasy based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger Ben Kingsley Isaac Hempstead-Wright Elle Fanning Dee Bradley Baker Toni Collette Anthony Stacchi,170687
Practical Magic,Drama Fantasy Comedy witch magic sorcery love curse Sandra Bullock Nicole Kidman Evan Rachel Wood Goran Visnjic Stockard Channing Griffin Dunne,6435
The Lego Movie,Adventure Animation Comedy Family Fantasy father son relationship creativity friendship part live action toys Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman Phil Lord,137106
Miss Congeniality 2: Armed and Fabulous,Action Comedy ransom press conference ship miss america fbi agent Sandra Bullock Regina King Enrique Murciano William Shatner Eileen Brennan John Pasquin,10040
Reign of Fire,Adventure Action Fantasy dragon evolution fire chief animated map theatre audience Christian Bale Matthew McConaughey Izabella Scorupco Gerard Butler Alexander Siddig Rob Bowman,6278
Gangster Squad,Crime Drama Action Thriller los angeles gangster Josh Brolin Ryan Gosling Nick Nolte Emma Stone Sean Penn Ruben Fleischer,82682
Year One,Comedy Adventure temple slavery stone age circumcision hebrews Jack Black Michael Cera Olivia Wilde Oliver Platt David Cross Harold Ramis,17610
Invictus,Drama History stadium south africa apartheid nelson mandela sport Morgan Freeman Matt Damon Tony Kgoroge Patrick Mofokeng Matt Stern Clint Eastwood,22954
State of Play,Action corruption assassination detective journalist assassin Russell Crowe Ben Affleck Rachel McAdams Robin Wright Jason Bateman Kevin Macdonald,16995
Duplicity,Romance Comedy Crime spy Clive Owen Julia Roberts Paul Giamatti Tom Wilkinson Lisa Roberts Gillan Tony Gilroy,16558
My Favorite Martian,Comedy Drama Family Science Fiction alien martian based on tv series fish out of water Jeff Daniels Elizabeth Hurley Daryl Hannah Christopher Lloyd Wallace Shawn Donald Petrie,9849
The Sentinel,Action Thriller Crime usa president agent Michael Douglas Kiefer Sutherland Eva Longoria Martin Donovan Kim Basinger Clark Johnson,5820
Planet 51,Science Fiction Animation Family Comedy Adventure flying saucer alien life-form spaceship alien alien planet Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman Jorge Blanco,16866
Star Trek: Nemesis,Science Fiction Action Adventure Thriller clone assassination ambush federation starfleet Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn Stuart Baird,201
Intolerable Cruelty,Crime Comedy Romance california assassin infidelity fetish hitman George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins Joel Coen,11775
Trouble with the Curve,Drama Romance women baseball pitcher home run aging Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard Robert Lorenz,87825
Edge of Darkness,Crime Drama Mystery Thriller murder violence death of daughter homicide detective Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare Martin Campbell,12201
The Relic,Horror Mystery Thriller chicago based on novel monster museum pile of dead bodies Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner Peter Hyams,11015
Analyze That,Comedy Crime prison gold therapist gangster Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty Harold Ramis,9932
Righteous Kill,Action Crime Drama Thriller revenge murder plot twist dirty cop Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg Jon Avnet,13389
Mercury Rising,Action Crime Drama Thriller assassin loss of family autism fbi bangkok Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens Harold Becker,8838
The Soloist,Drama newspaper cello musical violin los angeles Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin Joe Wright,17332
The Legend of Bagger Vance,Fantasy Drama competition world war i great depression caddy savannah Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch Robert Redford,4958
Almost Famous,Drama Music hotel room san diego drug addiction stewardess overdose Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit Cameron Crowe,786
Garfield: A Tail of Two Kitties,Animation Comedy Family london england cat mistake in person luxury wretch Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer Tim Hill,9513
xXx: State of the Union,Action Adventure Crime Drama Mystery washington d.c. helicopter usa president general coup d'etat Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss Lee Tamahori,11679
Priest,Action Science Fiction Fantasy Thriller Horror vampire crucifixion post-apocalyptic dystopia vampire hunter Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins Scott Stewart,38321
Sinbad: Legend of the Seven Seas,Family Animation Adventure prince water monster Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer Joseph Fiennes Dennis Haysbert Tim Johnson,14411
Event Horizon,Horror Science Fiction Mystery space marine nudity nightmare hallucination cryogenics Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones Paul W.S. Anderson,8413
Dragonfly,Drama pregnancy and birth voice dragonfly car crash jungle Kevin Costner Joe Morton Ron Rifkin Susanna Thompson Kathy Bates Tom Shadyac,10052
The Black Dahlia,Drama pornography observer los angeles murder hunt Josh Hartnett Scarlett Johansson Aaron Eckhart Hilary Swank Mia Kirshner Brian De Palma,9676
Flyboys,Action Adventure Drama History Romance world war i biplane James Franco David Ellison Jean Reno Philip Winchester Abdul Salis Tony Bill,9664
The Last Castle,Action Drama Thriller prison general Robert Redford James Gandolfini Mark Ruffalo Steve Burton Delroy Lindo Rod Lurie,2100
Supernova,Horror Science Fiction Thriller black people starships future star supernova James Spader Angela Bassett Robert Forster Lou Diamond Phillips Peter Facinelli Walter Hill,10384
Winter's Tale,Drama Fantasy Mystery Romance based on novel Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly Akiva Goldsman,137321
The Mortal Instruments: City of Bones,Action Adventure Drama Mystery Romance angel vampire werewolf warlock downworlder Lily Collins Jamie Campbell Bower Kevin Zegers Jemima West Robert Sheehan Harald Zwart,123553
Meet Dave,Comedy Science Fiction Adventure Family new york captain starships new love earth Eddie Murphy Elizabeth Banks Gabrielle Union Scott Caan Ed Helms Brian Robbins,11260
Dark Water,Drama Horror Thriller based on novel water remake teacher divorce Jennifer Connelly John C. Reilly Tim Roth Dougray Scott Pete Postlethwaite Walter Salles,9009
Edtv,Comedy tv show tv station simulated reality  reality tv tv star Matthew McConaughey Woody Harrelson Sally Kirkland Jenna Elfman Martin Landau Ron Howard,11374
Inkheart,Adventure Family Fantasy book fairy tale eavesdropping adventure writer's block Brendan Fraser Sienna Guillory Andy Serkis Eliza Bennett Paul Bettany Iain Softley,2309
The Spirit,Action Comedy Thriller Crime Science Fiction secret identity robber mask frog based on comic strip Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega Frank Miller,8285
Mortdecai,Comedy Adventure based on novel painting debt art dealer stolen painting Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn David Koepp,210860
In the Name of the King: A Dungeon Siege Tale,Adventure Fantasy Action Drama fictional place monster loss of family new love hero Jason Statham John Rhys-Davies Ray Liotta Leelee Sobieski Burt Reynolds Uwe Boll,2312
Beyond Borders,Drama Romance Adventure War london england cia landmine love of one's life cambodia Angelina Jolie Clive Owen Teri Polo Linus Roache Noah Emmerich Martin Campbell,9839
The Monkey King 2,Action Adventure Fantasy monkey king Aaron Kwok Gong Li William Feng Xiao Shen Yang Him Law Soi Cheang,381902
The Great Raid,Action History War based on novel world war ii prisoners of war narration archive footage Benjamin Bratt James Franco Connie Nielsen Marton Csokas Joseph Fiennes John Dahl,13922
Deadpool,Action Adventure Comedy anti hero mercenary marvel comic superhero based on comic book Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano Tim Miller,293660
Holy Man,Drama Comedy salesclerk television tv ratings guru television producer Eddie Murphy Jeff Goldblum Kelly Preston Robert Loggia Jon Cryer Stephen Herek,9713
American Sniper,War Action sniper biography iraq navy seal u.s. soldier Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed Clint Eastwood,190859
Goosebumps,Adventure Horror Comedy based on novel magic fantasy werewolf family Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell Rob Letterman,257445
Just Like Heaven,Comedy Fantasy Romance coma based on novel workaholic flirt architect Reese Witherspoon Mark Ruffalo Donal Logue Dina Spybey-Waters Ben Shenkman Mark Waters,9007
The Flintstones in Viva Rock Vegas,Science Fiction Comedy Family Romance waitress marriage proposal flirt stone age best friend Mark Addy Stephen Baldwin Kristen Johnston Jane Krakowski Joan Collins Brian Levant,889
Rambo III,Action Adventure Thriller War competition submachine gun soviet union liberation russian Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai Peter MacDonald,1370
Leatherheads,Comedy Romance Drama american football sports team stadium hero success George Clooney Ren\u00e9e Zellweger John Krasinski Wayne Duvall Stephen Root George Clooney,4942
The Ridiculous 6,Comedy Western wild west Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo Frank Coraci,347969
Did You Hear About the Morgans?,Comedy witness protection comedy duringcreditsstinger Hugh Grant Sarah Jessica Parker Mary Steenburgen Sam Elliott Natalia Klimas Marc Lawrence,24438
The Internship,Comedy job interview loss of job intern reference to google new job Owen Wilson Vince Vaughn Rose Byrne Max Minghella Aasif Mandvi Shawn Levy,116741
Resident Evil: Afterlife,Action Adventure Horror Science Fiction post-apocalyptic dystopia undead biohazard evil corporation Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke Paul W.S. Anderson,35791
Red Tails,Drama Action Adventure History War world war ii fighter pilot fighter plane Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard Anthony Hemingway,72431
The Devil's Advocate,Drama Horror Mystery Thriller child abuse southern usa obsession subway nudity Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey Taylor Hackford,1813
That's My Boy,Comedy deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg Sean Anders,87428
DragonHeart,Fantasy magic kingdom despot immortality village Dennis Quaid David Thewlis Pete Postlethwaite Dina Meyer Julie Christie Rob Cohen,8840
After the Sunset,Action Comedy Crime Drama bahamas master thief crook couple Pierce Brosnan Salma Hayek Woody Harrelson Troy Garity Russell Hornsby Brett Ratner,10589
Ghost Rider: Spirit of Vengeance,Action Fantasy Thriller monk eastern europe skeleton biker marvel comic Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth Brian Taylor,71676
Captain Corelli's Mandolin,Drama History Romance officer greek island mandolin italian soldier resistance fighter Nicolas Cage Pen\u00e9lope Cruz John Hurt Christian Bale Irene Papas John Madden,1722
The Pacifier,Action Comedy Drama Family Thriller bodybuilder children body guard scientist family Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow Adam Shankman,10022
Walking Tall,Adventure Drama Action Thriller casino sheriff home violence special forces Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders Kevin Bray,11358
Forrest Gump,Comedy Drama Romance vietnam veteran hippie mentally disabled running based on novel Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field Robert Zemeckis,13
Alvin and the Chipmunks,Comedy Music Family Fantasy Animation pop pop star record producer surprise approach Jason Lee David Cross Cameron Richardson Jane Lynch Justin Long Tim Hill,6477
Meet the Parents,Comedy Romance cia airport cat jew orderly Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson Jay Roach,1597
Pocahontas,Adventure Animation Drama Family culture clash settler forbidden love colony musical Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means Mike Gabriel,10530
Superman,Action Adventure Fantasy Science Fiction saving the world journalist dc comics crime fighter nuclear missile Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty Richard Donner,1924
The Nutty Professor,Fantasy Comedy Romance Science Fiction overweight overweight man duringcreditsstinger Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller Dave Chappelle Tom Shadyac,9327
Hitch,Comedy Drama Romance speed date romantic comedy dating Will Smith Eva Mendes Kevin James Amber Valletta Julie Ann Emery Andy Tennant,8488
George of the Jungle,Adventure Comedy Family Romance africa san francisco gorilla lion feral child Brendan Fraser Leslie Mann Thomas Haden Church John Cleese Richard Roundtree Sam Weisman,10603
American Wedding,Comedy Romance handcuffs sister sister relationship spanner blow job stag night Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas Jesse Dylan,8273
Captain Phillips,Action Drama Thriller ship hijacking somalia fisherman blood Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez Paul Greengrass,109424
Date Night,Comedy date corruption taxi expensive restaurant wife husband relationship Tina Fey Steve Carell Mark Wahlberg Taraji P. Henson Jimmi Simpson Shawn Levy,35056
Casper,Fantasy Comedy Family halloween friendship supernatural afterlife friends Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote Brad Silberling,8839
The Equalizer,Thriller Action Crime corruption assassin hostage fbi hitman Denzel Washington Marton Csokas Chlo\u00eb Grace Moretz David Harbour Haley Bennett Antoine Fuqua,156022
Maid in Manhattan,Comedy Drama Romance hotel politician mistaken identity maid class differences Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey Wayne Wang,7303
Crimson Tide,Action Thriller Drama submarine mutiny russia missile nuclear missile Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen Tony Scott,8963
The Pursuit of Happyness,Drama san francisco single parent homeless person bus worker Will Smith Jaden Smith Thandie Newton Brian Howe James Karen Gabriele Muccino,1402
Flightplan,Thriller Drama Mystery berlin loss of father airplane baby-snatching Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby Robert Schwentke,9315
Disclosure,Drama Thriller Crime Mystery Romance employee workplace sexual harassment intrigue Michael Douglas Demi Moore Donald Sutherland Dylan Baker Jacqueline Kim Barry Levinson,8984
City of Angels,Drama Fantasy Romance suicide angel life and death desperation operation Nicolas Cage Meg Ryan Andre Braugher Dennis Franz Colm Feore Brad Silberling,795
Kill Bill: Vol. 1,Action Crime japan coma martial arts kung fu underworld Uma Thurman Lucy Liu Vivica A. Fox Daryl Hannah David Carradine Quentin Tarantino,24
Bowfinger,Comedy film producer film director movie studio hollywood filmmaking Steve Martin Eddie Murphy Heather Graham Christine Baranski Jamie Kennedy Frank Oz,11353
Kill Bill: Vol. 2,Action Crime Thriller brother brother relationship swordplay katana mother role rage and hate Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu Chia-Hui Quentin Tarantino,393
Tango & Cash,Action Adventure Comedy prisoner war on drugs los angeles Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James Andrei Konchalovsky,9618
Death Becomes Her,Fantasy Comedy jealousy beauty immortality rivalry potion Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy Robert Zemeckis,9374
Shanghai Noon,Adventure Action Comedy Western princess sioux travel rescue native american Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan Tom Dey,8584
Executive Decision,Action Adventure Drama Thriller bomb ransom hostage airplane hijacking Kurt Russell Steven Seagal Halle Berry John Leguizamo Oliver Platt Stuart Baird,2320
Mr. Popper's Penguins,Comedy Family taxi restaurant zoo penguin ex husband Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury Ophelia Lovibond Mark Waters,58224
The Forbidden Kingdom,Action Adventure Fantasy tempel shaolin teenager urination staff Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing Rob Minkoff,1729
Free Birds,Animation Comedy Family holiday thanksgiving freedom duringcreditsstinger 3d Owen Wilson Woody Harrelson Amy Poehler George Takei Colm Meaney Jimmy Hayward,175574
Alien³,Science Fiction Action Horror prison android spacecraft space marine imprisonment Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown David Fincher,8077
Evita,History Drama Music prostitute deification dancehall hostess per\u00f3nism argentine president Madonna Antonio Banderas Jonathan Pryce Jimmy Nail Victoria Sus Alan Parker,8818
Ronin,Action Thriller Crime Adventure paris france arms deal audi impostor Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean John Frankenheimer,8195
The Ghost and the Darkness,Adventure africa lion bridge based on true story kenya Michael Douglas Val Kilmer Tom Wilkinson John Kani Emily Mortimer Stephen Hopkins,10586
Paddington,Family Comedy england train station based on novel bear anthropomorphism Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton Paul King,116149
The Watch,Comedy usa sterility castration marriage friendship Ben Stiller Vince Vaughn Jonah Hill Richard Ayoade Rosemarie DeWitt Akiva Schaffer,80035
The Hunted,Drama Action Thriller Crime hunter fbi knife balkan war woods Tommy Lee Jones Benicio del Toro Connie Nielsen Leslie Stefanson John Finn William Friedkin,10632
Instinct,Drama Mystery Thriller prison gorilla research instinct murder Anthony Hopkins Cuba Gooding Jr. Donald Sutherland Maura Tierney George Dzundza Jon Turteltaub,12117
Stuck on You,Comedy sex dancer martial arts cook stripper Matt Damon Greg Kinnear Eva Mendes Wen Yann Shih Seymour Cassel Bobby Farrelly,1792
Semi-Pro,Comedy sport basketball flint michigan nba merger Will Ferrell Maura Tierney Woody Harrelson David Koechner Will Arnett Kent Alterman,13260
The Pirates! In an Adventure with Scientists!,Animation Adventure Family Comedy rivalry stop motion pirate aftercreditsstinger duringcreditsstinger Hugh Grant Brendan Gleeson Jeremy Piven Brian Blessed Salma Hayek Peter Lord,72197
Changeling,Crime Drama Mystery corruption mother nudity minister power Angelina Jolie Jeffrey Donovan John Malkovich Geoff Pierson Amy Ryan Clint Eastwood,3580
Chain Reaction,Action Drama Science Fiction Thriller fbi hydrogen bomb secret lab energy supply conspiracy Keanu Reeves Morgan Freeman Rachel Weisz Fred Ward Kevin Dunn Andrew Davis,12123
The Fan,Drama Mystery Thriller sport luck san francisco giants child custody baseball pitcher Robert De Niro Wesley Snipes Ellen Barkin John Leguizamo Benicio del Toro Tony Scott,9566
The Phantom of the Opera,Thriller Drama Romance dancing obsession auction wheelchair rose Gerard Butler Emmy Rossum Patrick Wilson Miranda Richardson Minnie Driver Joel Schumacher,9833
Elizabeth: The Golden Age,Drama History Romance england assassination spain virgin colony Cate Blanchett Clive Owen Geoffrey Rush Laurence Fox Tom Hollander Shekhar Kapur,4517
Æon Flux,Action Science Fiction martial arts dystopia surrealism based on cartoon shootout Charlize Theron Marton Csokas Jonny Lee Miller Sophie Okonedo Frances McDormand Karyn Kusama,8202
Gods and Generals,Drama History War war battle union soldier confederate soldier american civil war Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell Ronald F. Maxwell,16072
Turbulence,Action Thriller Crime stewardess airplane shootout air marshal christmas Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin Robert Butler,34314
Imagine That,Comedy others Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi Karey Kirkpatrick,19724
Muppets Most Wanted,Comedy Adventure Crime Family musical the muppets Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson James Bobin,145220
Thunderbirds,Action Adventure Comedy Family Fantasy secret organization based on tv series golden gate bridge locker oil rig\u00a0 Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer Jonathan Frakes,14623
Burlesque,Drama Romance musical los angeles burlesque burlesque dancer Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough Steve Antin,42297
A Very Long Engagement,Drama paris prostitute loss of lover amnesia bodily disabled person Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier Jean-Pierre Jeunet,2841
Lolita,Drama Romance sexual obsession hotel depression loss of mother small town James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell Stanley Kubrick,802
D-Tox,Action Thriller alcoholism serial killer hospital police officer detox Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright Jim Gillespie,10375
Blade II,Fantasy Horror Action Thriller katana mutation vampire silver superhero Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus Guillermo del Toro,36586
Seven Pounds,Drama vegetarian tax collector pianist blind organ transplant Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy Gabriele Muccino,11321
Bullet to the Head,Action Crime Thriller others Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa Walter Hill,70074
The Godfather: Part III,Crime Drama Thriller italy christianity new york assassination italo-american Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola Francis Ford Coppola,242
Elizabethtown,Comedy Drama Romance suicide hotel room suicide attempt new love funeral Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill Cameron Crowe,9621
"You, Me and Dupree",Comedy Romance roommate love of one's life newlywed Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen Anthony Russo,1819
Superman II,Action Adventure Fantasy Science Fiction saving the world dc comics sequel superhero based on comic book Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas Richard Lester,8536
Gigli,Drama new york mentally disabled kidnapping blackmail mission of murder Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito Martin Brest,8046
All the King's Men,Drama Thriller corruption journalist based on novel blackmail manipulation Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson Steven Zaillian,1717
Shaft,Action Adventure Crime Thriller corruption black people italo-american brother sister relationship drug dealer Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya John Singleton,479
Anastasia,Animation Family tzar musical russian revolution train explosion foreign language adaptation Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria Gary Goldman,9444
Moulin Rouge!,Drama Music Romance duke musical writer's block music terminal illness Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh Baz Luhrmann,824
Domestic Disturbance,Mystery Thriller Crime menace adoption dangerous adoptive father threat to death John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi Harold Becker,11456
Black Mass,Crime Drama boston based on true story organized crime Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon Scott Cooper,261023
Flags of Our Fathers,War Drama History world war ii dying and death pacific iwo jima aftercreditsstinger Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery Clint Eastwood,3683
Law Abiding Citizen,Drama Crime Thriller tattoo secret passage baseball bat deal explosion Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb F. Gary Gray,22803
Grindhouse,Thriller Action Horror exploitation slasher zombie killer Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier Robert Rodriguez,285923
Beloved,Drama Thriller others Oprah Winfrey Danny Glover Thandie Newton Lisa Gay Hamilton Albert Hall Jonathan Demme,39437
Lucky You,Drama Romance poker sport las vegas Eric Bana Drew Barrymore Robert Duvall Debra Messing Robert Downey Jr. Curtis Hanson,1950
Catch Me If You Can,Drama Crime con man biography fbi agent overhead camera shot attempted jailbreak Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen Nathalie Baye Steven Spielberg,640
Zero Dark Thirty,Thriller Drama History assassination cia hotel terrorist prisoner Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt Kathryn Bigelow,97630
The Break-Up,Romance Comedy bowling chicago american football flat baseball Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau Peyton Reed,9767
Mamma Mia!,Comedy Romance single parent greece musical daughter single Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd Phyllida Lloyd,11631
